epoch,steps,cosine_pearson,cosine_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman,dot_pearson,dot_spearman
-1,-1,0.20719162793403892,0.24385538584320587,0.22530748307432727,0.2349729597857867,0.328323209042081,0.338801972509356,0.18517596309770382,0.16914001662997208
-1,-1,0.2511861610069294,0.3215225025928278,0.2567631007366233,0.29327804771008426,0.3251354256632892,0.33234194107120707,0.10807365364672239,0.11094477028812218
-1,-1,0.19989797123550926,0.22052227277921366,0.21072160657405978,0.21331721034390427,0.33348072082039876,0.3474975230118429,0.1650443259513618,0.15959393949101502
-1,-1,0.4469000430134993,0.3708703460660762,0.3703417339902362,0.36702145952269905,0.36590502484194903,0.35991115569071147,0.3854803602426568,0.2936298986751164
-1,-1,0.3896311483649965,0.4084235555066156,0.3859496891642817,0.3556479559015156,0.3966624615206239,0.33844356002233134,0.3387540754171705,0.34394833611584247
-1,-1,0.3860409333193352,0.4071755881094504,0.3845243822007059,0.3562026175463191,0.3970994153525378,0.34008666738676546,0.334639958648565,0.3397801505736823
-1,-1,0.5470627365353349,0.5085136936983982,0.45828612604491603,0.43240745225187455,0.43360176141836887,0.35436419838439076,0.529273936264859,0.4869463969815589
-1,-1,0.5389873005568543,0.5093316683686193,0.45717327429167803,0.4378190888189191,0.44201949149514685,0.36423570997126686,0.5229563017205954,0.4891005361302743
-1,-1,0.40758210685988816,0.4565262436635528,0.3728806022218126,0.4292501671694324,0.3658730732059947,0.42188421962344713,0.42562338672309113,0.4460844761653193
-1,-1,0.33011868688027557,0.38543752139166076,0.36230267783155246,0.36864096245087413,0.4003272569777278,0.36865084734114867,0.27494681571855556,0.2751821369856189
-1,-1,0.329165273822858,0.385090357228052,0.36118487412179795,0.3678367213034079,0.40065130130415716,0.36962945147833165,0.2756163593350684,0.27535844593370595
-1,-1,0.3579249875239519,0.40843940541688345,0.34970798641778245,0.37028117251988296,0.41571890783566573,0.4094295987357677,0.24609390925744112,0.21444528083920453
-1,-1,0.47787729588065647,0.38676337490702384,0.34634180528130226,0.350669124142269,0.34075513339357955,0.3404053698835492,0.42809276608560864,0.3316273316760124
-1,-1,0.4748516870708568,0.38523632978874467,0.3495545897937896,0.3524931420416421,0.3439276920832131,0.3428919310750328,0.4223593321050582,0.32672791989724764
-1,-1,0.5107788204566228,0.4632334825731374,0.5421602777644875,0.4672573998460316,0.5400879327543711,0.46845534628982455,0.5030676482860109,0.44842030981883796
